CustomerID,TotalValueSum,TotalValueMean,QuantitySum,QuantityMean,Region,FavoriteCategory,Cluster
C0064,4039.77,807.954,13,2.6,Europe,Books,2
C0065,7663.7,766.37,27,2.7,North America,Home Decor,0
C0066,3799.2799999999997,1266.4266666666665,9,3.0,Europe,Electronics,3
C0067,4090.84,681.8066666666667,14,2.3333333333333335,North America,Clothing,2
C0068,5950.42,743.8025,22,2.75,North America,Electronics,0
C0069,2878.69,575.738,10,2.0,Europe,Electronics,1
C0070,3125.49,781.3725,12,3.0,Europe,Books,3
C0071,1400.83,466.9433333333333,7,2.3333333333333335,South America,Books,1
C0072,2999.59,599.918,13,2.6,North America,Electronics,2
C0073,2060.54,686.8466666666667,10,3.3333333333333335,Europe,Books,3
C0074,3055.2200000000003,1018.4066666666668,8,2.6666666666666665,Europe,Books,3
C0075,5848.97,649.8855555555556,28,3.111111111111111,Europe,Books,0
C0076,2333.06,466.61199999999997,11,2.2,South America,Home Decor,1
C0077,837.3,279.09999999999997,7,2.3333333333333335,South America,Clothing,1
C0078,995.52,995.52,2,2.0,Asia,Books,1
C0079,4251.5599999999995,1062.8899999999999,12,3.0,North America,Home Decor,3
C0080,1007.52,1007.52,3,3.0,Asia,Home Decor,3
C0081,3542.48,590.4133333333333,14,2.3333333333333335,Europe,Books,2
C0082,7572.91,1081.8442857142857,23,3.2857142857142856,South America,Books,0
C0083,642.8,214.26666666666665,4,1.3333333333333333,South America,Clothing,1
C0084,4441.1,493.4555555555556,20,2.2222222222222223,Asia,Electronics,2
C0085,2598.33,866.11,7,2.3333333333333335,South America,Books,2
C0086,2754.68,550.9359999999999,13,2.6,Europe,Home Decor,2
C0087,6604.23,943.4614285714285,22,3.142857142857143,South America,Books,0
C0088,2135.38,427.076,10,2.0,Asia,Clothing,1
C0089,2556.2200000000003,1278.1100000000001,7,3.5,Europe,Home Decor,3
C0090,4138.16,591.1657142857142,16,2.2857142857142856,Asia,Books,2
C0091,3137.66,522.9433333333333,20,3.3333333333333335,South America,Electronics,2
C0092,3015.95,753.9875,10,2.5,Asia,Clothing,2
C0093,5294.99,588.3322222222222,19,2.111111111111111,Asia,Clothing,2
C0094,1166.97,291.7425,9,2.25,North America,Books,1
C0095,1284.27,642.135,5,2.5,South America,Electronics,1
C0096,6072.92,1214.584,16,3.2,South America,Electronics,3
C0097,137.54,137.54,1,1.0,Asia,Home Decor,1
C0098,3158.02,394.7525,14,1.75,North America,Clothing,1
C0099,6715.72,839.465,21,2.625,South America,Clothing,0
C0100,5003.45,833.9083333333333,14,2.3333333333333335,Europe,Home Decor,2
C0101,5550.99,693.87375,20,2.5,Asia,Books,0
C0102,6132.360000000001,766.5450000000001,21,2.625,South America,Electronics,0
C0103,2462.5499999999997,492.50999999999993,7,1.4,Europe,Clothing,1
C0104,6579.1,822.3875,21,2.625,South America,Home Decor,0
C0105,4807.45,801.2416666666667,16,2.6666666666666665,Europe,Electronics,2
C0106,2939.3,587.86,13,2.6,Asia,Clothing,2
C0107,3623.92,724.784,12,2.4,South America,Clothing,2
C0108,4848.54,692.6485714285715,16,2.2857142857142856,South America,Clothing,2
C0109,5487.25,498.84090909090907,32,2.909090909090909,North America,Clothing,0
C0110,942.32,942.32,4,4.0,Asia,Home Decor,3
C0111,1973.02,394.604,16,3.2,Europe,Clothing,2
C0112,1959.51,653.17,8,2.6666666666666665,South America,Electronics,2
C0113,4812.1,601.5125,22,2.75,South America,Home Decor,0
C0114,5780.43,1156.086,18,3.6,Europe,Electronics,3
C0115,3137.18,1045.7266666666667,8,2.6666666666666665,Asia,Electronics,3
C0116,2758.6800000000003,459.78000000000003,11,1.8333333333333333,North America,Books,1
C0117,4028.2700000000004,1007.0675000000001,12,3.0,North America,Books,3
C0118,3434.77,572.4616666666667,10,1.6666666666666667,South America,Books,1
C0119,1191.61,238.32199999999997,6,1.2,Europe,Electronics,1
C0120,2470.02,823.34,9,3.0,South America,Electronics,3
C0121,974.52,243.63,8,2.0,Europe,Books,1
C0122,5072.55,724.65,17,2.4285714285714284,North America,Books,2
C0123,1400.06,700.03,4,2.0,Asia,Books,1
C0124,4264.33,609.1899999999999,19,2.7142857142857144,Europe,Home Decor,2
C0125,2973.96,743.49,10,2.5,North America,Books,2
C0126,4565.57,760.9283333333333,13,2.1666666666666665,South America,Books,2
C0127,3232.88,538.8133333333334,11,1.8333333333333333,Europe,Electronics,1
C0128,773.19,386.595,3,1.5,Asia,Home Decor,1
C0129,2339.61,779.87,9,3.0,South America,Clothing,3
C0130,601.36,601.36,2,2.0,South America,Electronics,1
C0131,1943.82,647.9399999999999,7,2.3333333333333335,North America,Books,1
C0132,1851.2599999999998,617.0866666666666,8,2.6666666666666665,Europe,Books,2
C0133,2884.33,721.0825,11,2.75,South America,Clothing,2
C0134,2679.28,535.856,16,3.2,Asia,Clothing,2
C0135,3135.58,783.895,10,2.5,Europe,Books,2
C0136,4298.99,716.4983333333333,21,3.5,Asia,Home Decor,0
C0137,3332.55,666.51,11,2.2,South America,Books,2
C0138,5610.25,1122.05,17,3.4,Asia,Home Decor,3
C0139,3703.64,462.955,13,1.625,North America,Books,1
C0140,1888.1399999999999,944.0699999999999,5,2.5,Asia,Electronics,3
C0141,10673.869999999999,1067.387,27,2.7,Europe,Clothing,0
C0142,2239.04,559.76,11,2.75,Asia,Books,2
C0143,6044.63,863.5185714285715,21,3.0,Asia,Clothing,0
C0144,1304.6799999999998,652.3399999999999,8,4.0,North America,Clothing,3
C0145,5771.27,721.40875,20,2.5,Asia,Clothing,0
C0146,2570.8,642.7,8,2.0,Asia,Electronics,1
C0147,2948.44,327.6044444444444,14,1.5555555555555556,South America,Books,1
C0148,5457.79,1091.558,18,3.6,South America,Electronics,3
C0149,4404.78,880.9559999999999,15,3.0,Europe,Clothing,3
C0150,580.34,580.34,2,2.0,South America,Clothing,1
C0151,223.96,223.96,4,4.0,South America,Home Decor,1
C0152,3385.8599999999997,677.1719999999999,10,2.0,South America,Home Decor,2
C0153,4744.79,790.7983333333333,17,2.8333333333333335,South America,Books,0
C0154,3703.61,617.2683333333333,11,1.8333333333333333,North America,Electronics,2
C0155,5377.83,768.2614285714286,17,2.4285714285714284,South America,Books,0
C0156,7634.45,694.040909090909,28,2.5454545454545454,North America,Books,0
C0157,1876.1,375.21999999999997,10,2.0,North America,Electronics,1
C0158,3716.52,929.13,9,2.25,South America,Home Decor,2
C0159,2072.41,690.8033333333333,8,2.6666666666666665,Asia,Home Decor,2
C0160,2926.93,585.386,14,2.8,North America,Home Decor,2
C0161,3141.83,392.72875,14,1.75,Asia,Books,1
C0162,4802.24,600.28,20,2.5,Asia,Electronics,0
C0163,5775.28,962.5466666666666,19,3.1666666666666665,South America,Home Decor,0
C0164,3087.69,617.538,10,2.0,Europe,Home Decor,2
C0165,6708.1,745.3444444444444,30,3.3333333333333335,South America,Books,0
C0166,2405.3500000000004,601.3375000000001,11,2.75,Europe,Home Decor,2
C0167,2300.42,766.8066666666667,8,2.6666666666666665,Europe,Books,2
C0168,5053.83,1263.4575,12,3.0,South America,Books,3
C0169,4533.32,755.5533333333333,20,3.3333333333333335,South America,Books,0
C0170,4931.74,986.348,15,3.0,Europe,Home Decor,3
C0171,5145.35,1029.0700000000002,15,3.0,South America,Books,3
C0172,2201.7,366.95,10,1.6666666666666667,Europe,Home Decor,1
C0173,5808.04,726.005,20,2.5,Asia,Books,0
C0174,2891.95,578.39,12,2.4,South America,Books,2
C0175,6210.53,621.053,26,2.6,Asia,Books,0
C0176,2331.32,777.1066666666667,12,4.0,North America,Clothing,3
C0177,2509.81,627.4525,9,2.25,Asia,Books,2
C0178,2708.83,677.2075,9,2.25,Asia,Home Decor,2
C0179,3652.83,608.805,14,2.3333333333333335,Europe,Home Decor,2
C0181,3347.6000000000004,557.9333333333334,15,2.5,South America,Electronics,2
C0182,4980.7699999999995,996.1539999999999,17,3.4,Europe,Home Decor,3
C0183,3850.2200000000003,770.0440000000001,12,2.4,North America,Clothing,2
C0184,3393.1800000000003,484.74000000000007,11,1.5714285714285714,South America,Electronics,1
C0185,3424.3199999999997,1141.4399999999998,9,3.0,North America,Books,3
C0186,1761.6399999999999,587.2133333333333,7,2.3333333333333335,Asia,Electronics,1
C0187,4612.44,922.4879999999999,11,2.2,South America,Books,2
C0188,7111.320000000001,888.9150000000001,21,2.625,South America,Electronics,0
C0189,2643.21,528.642,11,2.2,North America,Home Decor,2
C0190,2983.02,596.604,14,2.8,South America,Electronics,2
C0191,2997.9700000000003,599.594,11,2.2,South America,Books,2
C0192,2072.7200000000003,518.1800000000001,8,2.0,South America,Electronics,1
C0193,3009.2900000000004,752.3225000000001,11,2.75,Asia,Books,2
C0194,3869.17,552.7385714285714,14,2.0,North America,Books,2
C0195,4036.27,672.7116666666667,17,2.8333333333333335,South America,Home Decor,2
C0196,4982.88,1245.72,12,3.0,Europe,Home Decor,3
C0197,1928.65,642.8833333333333,9,3.0,Europe,Electronics,2
C0198,931.83,465.915,3,1.5,Europe,Clothing,1
C0199,1979.28,494.82,9,2.25,Europe,Electronics,1
C0200,4758.6,951.72,16,3.2,Asia,Clothing,3
